Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount_USD,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Promo_Code_Used,Previous_Purchases,Payment_Method,Frequency_of_Purchases,Customer_Segment,Device_Used,Delivery_Delay_Days,Customer_Satisfaction_Comment,Age_Group,Frequency
1,54,Female,Phone,Clothing,338.0,Germany,S,red,Summer,4.8,,Same Day,Yes,,7.0,Crypto,High,New,Tablet,4.0,,41-60,1
2,67,M,Shirt,Clothing,231.0,UK,XXL,Black,Harmattan,2.0,Active,Express,FALSE,SALE20,10.0,card,Low,New,Tablet,5.0,Will buy again,61-80,1
3,44,Other,Phone,Electronics,1220.0,USA,M,red,Winter,4.3,Yes,Same Day,Yes,WELCOME,10.0,Cash,,Returning,Mobile,6.0,Late delivery,41-60,1
4,30,Male,Headset,,,China,,red,,4.1,,Pickup,,,36.0,Crypto,Very High,New,,0.0,,21-40,1
5,58,F,Headset,,,,S,red,,2.3,Active,Pickup,No,,36.0,Crypto,Low,VIP,Desktop,2.0,,61-80,1
6,23,Female,shirt,Accessories,1056.0,UK,XXL,red,Harmattan,2.9,Inactive,Same Day,,WELCOME,28.0,,,Returning,Desktop,8.0,Bad,0-20,1
7,36,M,Bag,Accessories,1342.0,China,XXL,Blue,Autumn,4.0,No,Pickup,No,PROMO10,32.0,Card,Low,VIP,Mobile,9.0,Late delivery,21-40,1
8,54,Male,Laptop,Fashion,1243.0,France,M,,,4.4,No,Standard,,NONE,20.0,Cash,Medium,,Mobile,13.0,Late delivery,41-60,1
9,34,M,shirt,Accessories,22.0,,L,Green,Autumn,3.7,No,Express,TRUE,,6.0,,Very High,New,,11.0,,21-40,1
10,38,Other,Shoes ,,,Canada,M,Green,Spring,4.7,Inactive,Standard,,WELCOME,0.0,Transfer,High,Returning,Mobile,11.0,,21-40,1
11,26,Male,Headset,Clothing,637.0,UK,XL,White,Winter,3.5,,,No,,40.0,Cash,,Churn Risk,Tablet,1.0,,0-20,1
12,26,Male,Shoes ,,,India,M,,Autumn,2.6,Active,,No,WELCOME,39.0,Transfer,High,New,Mobile,3.0,Good,0-20,1
13,39,Male,shirt,Electronics,816.0,Nigeria,L,Green,Summer,3.5,Yes,Pickup,FALSE,,22.0,Cash,Very High,Returning,Tablet,4.0,,21-40,1
14,68,Female,Laptop,,,UK,M,Green,Harmattan,3.4,Active,Same Day,No,,33.0,Cash,Very High,Churn Risk,,-2.0,Bad,61-80,1
15,51,Male,Phone,Accessories,1577.0,India,S,White,Winter,3.2,,Standard,TRUE,,15.0,Cash,Medium,New,Desktop,5.0,Excellent,41-60,1
16,55,M,shirt,Clothing,1543.0,India,S,White,Winter,2.2,Active,Express,No,SALE20,32.0,Card,High,New,,4.0,,41-60,1
17,39,Female,Headset,,,,M,Red,,3.7,Inactive,Pickup,No,SALE20,48.0,card,,VIP,Mobile,7.0,Good,21-40,1
18,18,Male,Laptop,Clothing,1003.0,,,Green,Winter,4.2,Yes,Pickup,Yes,SALE20,14.0,,Very High,New,Desktop,13.0,Bad,0-20,1
19,37,M,Watch,Gadgets,139.0,India,S,red,Spring,4.8,Active,Same Day,TRUE,SALE20,5.0,card,Medium,Returning,,4.0,Late delivery,21-40,1
20,68,M,Shoes,,,UK,L,Red,Spring,3.0,Active,Pickup,,PROMO10,43.0,Cash,,,Tablet,13.0,Excellent,61-80,1
21,17,F,Shoes,Gadgets,405.0,UK,XL,Green,Summer,4.0,Inactive,Pickup,Yes,PROMO10,34.0,,Medium,VIP,Desktop,6.0,,0-20,1
