Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Customer Segment,Device Used,Delivery Delay (Days),Customer Satisfaction Comment
1,54,Female,Phone,Clothing,338,Germany,S,red,Summer,4.8,,Same Day,Yes,,7,Crypto,High,New,Tablet,4,
2,67,M,Shirt,Clothing,231,UK,XXL,Black,Harmattan,2.0,Active,Express,FALSE,SALE20,10,card,Low,New,Tablet,5,Will buy again
3,44,Other,Phone,Electronics,1220,USA,M,red,Winter,4.3,Yes,Same Day,Yes,WELCOME,10,Cash,,Returning,Mobile,6,Late delivery
4,30,Male,Headset,,325,China,,red,,4.1,,Pickup,,,36,Crypto,Very High,New,,0,
5,58,F,Headset,,346,,S,red,,2.3,Active,Pickup,No,,36,Crypto,Low,VIP,Desktop,2,
6,23,Female,shirt,Accessories,1056,UK,XXL,red,Harmattan,2.9,Inactive,Same Day,,WELCOME,28,,,Returning,Desktop,8,Bad
7,36,M,Bag,Accessories,1342,China,XXL,Blue,Autumn,4.0,No,Pickup,No,PROMO10,32,Card,Low,VIP,Mobile,9,Late delivery
8,54,Male,Laptop,Fashion,1243,France,M,,,4.4,No,Standard,,NONE,20,Cash,Medium,,Mobile,13,Late delivery
9,34,M,shirt,Accessories,22,,L,Green,Autumn,3.7,No,Express,TRUE,,6,,Very High,New,,11,
10,38,Other,Shoes ,,1138,Canada,M,Green,Spring,4.7,Inactive,Standard,,WELCOME,0,Transfer,High,Returning,Mobile,11,
11,26,Male,Headset,Clothing,637,UK,XL,White,Winter,3.5,,,No,,40,Cash,,Churn Risk,Tablet,1,
12,26,Male,Shoes ,,497,India,M,,Autumn,2.6,Active,,No,WELCOME,39,Transfer,High,New,Mobile,3,Good
13,39,Male,shirt,Electronics,816,Nigeria,L,Green,Summer,3.5,Yes,Pickup,FALSE,,22,Cash,Very High,Returning,Tablet,4,
14,68,Female,Laptop,,1604,UK,M,Green,Harmattan,3.4,Active,Same Day,No,,33,Cash,Very High,Churn Risk,,-2,Bad
15,51,Male,Phone,Accessories,1577,India,S,White,Winter,3.2,,Standard,TRUE,,15,Cash,Medium,New,Desktop,5,Excellent
16,55,M,shirt,Clothing,1543,India,S,White,Winter,2.2,Active,Express,No,SALE20,32,Card,High,New,,4,
17,39,Female,Headset,,274,,M,Red,,3.7,Inactive,Pickup,No,SALE20,48,card,,VIP,Mobile,7,Good
18,18,Male,Laptop,Clothing,1003,,,Green,Winter,4.2,Yes,Pickup,Yes,SALE20,14,,Very High,New,Desktop,13,Bad
19,37,M,Watch,Gadgets,139,India,S,red,Spring,4.8,Active,Same Day,TRUE,SALE20,5,card,Medium,Returning,,4,Late delivery
20,68,M,Shoes,,516,UK,L,Red,Spring,3.0,Active,Pickup,,PROMO10,43,Cash,,,Tablet,13,Excellent
21,17,F,Shoes,Gadgets,405,UK,XL,Green,Summer,4.0,Inactive,Pickup,Yes,PROMO10,34,,Medium,VIP,Desktop,6,
22,39,M,shirt,Accessories,1994,Germany,XL,Green,Summer,4.2,,Standard,No,,34,Transfer,Low,Churn Risk,Desktop,3,Excellent
23,59,,Shoes ,Gadgets,1523,,L,Blue,Spring,3.7,,Pickup,Yes,NONE,4,Cash,Low,Churn Risk,,7,
24,45,Other,Shoes,Clothing,1111,Nigeria,XXL,Green,Autumn,2.5,,Pickup,Yes,PROMO10,43,card,Medium,Churn Risk,,0,Excellent
25,53,Male,Shirt,Clothing,1747,Nigeria,XXL,,Harmattan,3.9,Yes,Pickup,No,WELCOME,34,Card,Medium,New,Tablet,1,
26,17,Male,Laptop,Gadgets,1707,,XL,White,Harmattan,4.9,Inactive,Same Day,TRUE,WELCOME,26,card,Low,Churn Risk,Tablet,12,
27,36,Male,Shoes,Electronics,649,India,S,Green,Winter,3.4,,Standard,No,SALE20,8,Crypto,Low,VIP,Tablet,14,Will buy again
28,48,M,Shirt,Gadgets,83,Canada,S,Black,Summer,4.0,Active,Standard,Yes,SALE20,43,Transfer,,VIP,mobile,13,
29,27,M,Phone,Electronics,1336,Nigeria,XXL,red,Autumn,1.9,No,Standard,TRUE,,12,Transfer,,New,Mobile,1,Excellent
30,37,Male,Shoes ,Gadgets,625,France,XL,Blue,Harmattan,3.6,Inactive,Pickup,TRUE,NONE,15,Cash,Very High,Returning,Tablet,10,
31,59,,Watch,Clothing,1054,,M,Red,Winter,1.1,,Standard,TRUE,WELCOME,21,Cash,Low,New,Tablet,10,Excellent
32,40,Female,Watch,,171,France,m,Green,Winter,4.3,,Express,TRUE,SALE20,41,,High,New,Desktop,10,Will buy again
33,64,Female,Laptop,Clothing,689,Germany,M,Green,Summer,1.9,No,,No,NONE,17,Card,Medium,Churn Risk,Tablet,13,Late delivery
34,42,Other,Shirt,Gadgets,849,Nigeria,S,Red,Harmattan,1.3,Yes,Same Day,TRUE,SALE20,28,,Very High,VIP,Mobile,5,
35,57,F,Bag,Fashion,1571,,L,Blue,Harmattan,1.7,Yes,,TRUE,,30,Transfer,Low,New,mobile,13,
36,43,Other,Watch,Electronics,465,,m,Red,Autumn,2.9,No,,Yes,SALE20,20,Card,Low,,,14,Will buy again
37,31,Male,Watch,Fashion,1179,Nigeria,,Green,,1.2,Yes,Express,,WELCOME,18,Cash,,VIP,,-1,
38,30,Male,Phone,Clothing,1068,Canada,XXL,Red,Summer,1.1,Active,Standard,No,PROMO10,39,Crypto,Low,Churn Risk,Tablet,-2,Excellent
39,62,Male,Watch,Electronics,804,Nigeria,S,Red,,3.0,No,Express,,SALE20,47,card,High,,mobile,8,Bad
40,66,F,Watch,,1897,Canada,m,Green,Summer,3.3,,Pickup,Yes,NONE,35,card,,VIP,Desktop,6,Excellent
41,59,M,Shoes,Gadgets,776,India,L,Blue,Spring,2.3,,,TRUE,NONE,32,,,,Tablet,13,
42,67,F,Watch,Electronics,1621,China,L,White,Harmattan,1.1,Active,Pickup,No,WELCOME,36,Card,Medium,New,Tablet,4,Late delivery
43,18,Other,Phone,Electronics,1368,UK,,Blue,Spring,2.8,,Pickup,TRUE,,42,Cash,Low,Churn Risk,mobile,2,
44,52,M,Shoes ,Accessories,178,UK,,White,Autumn,4.7,Active,,,NONE,10,Crypto,Medium,,Desktop,13,Bad
45,66,M,shirt,,591,Germany,,Green,Winter,2.9,Inactive,Same Day,Yes,PROMO10,14,,Low,Returning,Mobile,5,Will buy again
46,22,Other,Watch,Electronics,558,France,XXL,Green,Summer,2.8,No,Standard,TRUE,,19,Crypto,Medium,Churn Risk,Tablet,1,Late delivery
47,36,M,,,1125,UK,L,,Harmattan,3.2,No,Same Day,Yes,NONE,28,Transfer,,Churn Risk,Mobile,3,Late delivery
48,24,Female,Laptop,Clothing,171,France,,,Spring,1.7,Active,Pickup,Yes,NONE,47,Transfer,Medium,New,Desktop,3,Will buy again
49,54,Other,Bag,,202,India,L,White,Winter,4.2,Inactive,,,SALE20,28,Transfer,Low,Churn Risk,,7,Good
50,33,Other,,Fashion,1643,France,m,Green,Autumn,1.1,,Pickup,No,NONE,7,Cash,High,New,Mobile,11,
51,19,Female,Shoes,Fashion,444,France,XXL,Green,Harmattan,1.2,,,No,NONE,27,Cash,,Churn Risk,,-2,
52,40,F,Headset,,563,USA,m,White,Harmattan,1.2,No,Express,Yes,PROMO10,18,,Very High,VIP,Desktop,0,
53,29,F,Phone,Gadgets,1706,Canada,XL,,Summer,4.2,Yes,,FALSE,PROMO10,31,,Low,New,,2,Good
54,65,F,Laptop,Accessories,1558,Nigeria,m,,Summer,2.5,Yes,Standard,FALSE,SALE20,18,Transfer,Medium,Returning,,8,Excellent
55,24,M,shirt,Fashion,518,Germany,M,Red,Spring,3.6,,Same Day,,WELCOME,0,Crypto,Very High,VIP,Tablet,1,Late delivery
56,41,Female,Headset,Fashion,1645,UK,XL,red,Spring,1.3,Yes,,FALSE,PROMO10,21,Crypto,,Returning,Tablet,14,Good
57,68,Other,,Electronics,1130,UK,M,Blue,Autumn,4.1,Yes,,FALSE,NONE,15,Card,Very High,Churn Risk,,1,Bad
58,17,Other,Shoes ,,1210,Canada,M,Blue,Winter,2.3,Yes,Standard,No,,18,Card,,VIP,Desktop,10,
59,35,Other,Laptop,Clothing,1749,,XXL,,Autumn,1.9,Active,Express,Yes,SALE20,28,card,High,,,5,Excellent
